Fund Holdings as of,"09/Jan/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"BBCA","BANK CENTRAL ASIA","Financials","Equity","74,860,848.21","0.22","74,860,848.21","154,789,200.00","0.48","Indonesia","Indonesia Stock Exchange","IDR"
"2891","CTBC FINANCIAL HOLDING LTD","Financials","Equity","74,343,122.62","0.21","74,343,122.62","47,317,079.00","1.57","Taiwan","Taiwan Stock Exchange","TWD"
"KOTAKBANK","KOTAK MAHINDRA BANK LTD","Financials","Equity","73,551,803.85","0.21","73,551,803.85","3,118,205.00","23.59","India","National Stock Exchange Of India","INR"
"034020","DOOSAN ENERBILITY LTD","Industrials","Equity","72,381,857.42","0.21","72,381,857.42","1,253,487.00","57.74","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2881","FUBON FINANCIAL HOLDING LTD","Financials","Equity","72,318,556.58","0.21","72,318,556.58","23,954,102.00","3.02","Taiwan","Taiwan Stock Exchange","TWD"
"035420","NAVER CORP","Communication","Equity","71,209,709.56","0.20","71,209,709.56","408,797.00","174.19","Korea (South)","Korea Exchange (Stock Market)","KRW"
"3968","CHINA MERCHANTS BANK LTD H","Financials","Equity","71,138,692.74","0.20","71,138,692.74","11,057,492.00","6.43","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1024","KUAISHOU TECHNOLOGY","Communication","Equity","71,043,148.90","0.20","71,043,148.90","7,413,500.00","9.58","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"OTP","OTP BANK","Financials","Equity","70,513,543.55","0.20","70,513,543.55","638,554.00","110.43","Hungary","Budapest Stock Exchange","HUF"
"2382","QUANTA COMPUTER INC","Information Technology","Equity","70,399,968.39","0.20","70,399,968.39","7,869,000.00","8.95","Taiwan","Taiwan Stock Exchange","TWD"
"QNBK","QATAR NATIONAL BANK","Financials","Equity","69,635,367.41","0.20","69,635,367.41","13,102,965.00","5.31","Qatar","Qatar Exchange","QAR"
"SBK","STANDARD BANK GROUP","Financials","Equity","66,882,353.74","0.19","66,882,353.74","3,755,347.00","17.81","South Africa","Johannesburg Stock Exchange","ZAR"
"VAL","VALTERRA PLATINUM LTD","Materials","Equity","66,568,108.35","0.19","66,568,108.35","757,758.00","87.85","South Africa","Johannesburg Stock Exchange","ZAR"
"GFNORTEO","GPO FINANCE BANORTE","Financials","Equity","66,353,909.99","0.19","66,353,909.99","7,053,611.00","9.41","Mexico","Bolsa Mexicana De Valores","MXN"
"055550","SHINHAN FINANCIAL GROUP LTD","Financials","Equity","65,909,082.47","0.19","65,909,082.47","1,235,287.00","53.36","Korea (South)","Korea Exchange (Stock Market)","KRW"
"MARUTI","MARUTI SUZUKI INDIA LTD","Consumer Discretionary","Equity","65,839,474.97","0.19","65,839,474.97","359,761.00","183.01","India","National Stock Exchange Of India","INR"
"2882","CATHAY FINANCIAL HOLDING LTD","Financials","Equity","65,796,670.45","0.19","65,796,670.45","27,421,781.00","2.40","Taiwan","Taiwan Stock Exchange","TWD"
"PETR4","PETROLEO BRASILEIRO PREF SA","Energy","Equity","65,185,875.14","0.19","65,185,875.14","11,519,721.00","5.66","Brazil","XBSP","BRL"
"857","PETROCHINA LTD H","Energy","Equity","63,269,592.44","0.18","63,269,592.44","60,888,000.00","1.04","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"000270","KIA CORPORATION CORP","Consumer Discretionary","Equity","62,719,967.08","0.18","62,719,967.08","686,600.00","91.35","Korea (South)","Korea Exchange (Stock Market)","KRW"
"CPI","CAPITEC LTD","Financials","Equity","62,580,135.98","0.18","62,580,135.98","246,156.00","254.23","South Africa","Johannesburg Stock Exchange","ZAR"
"6160","BEONE MEDICINES AG","Health Care","Equity","61,834,013.88","0.18","61,834,013.88","2,442,992.00","25.31","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","61,748,332.67","0.18","61,748,332.67","2,346,598.00","26.31","India","National Stock Exchange Of India","INR"
"FAB","FIRST ABU DHABI BANK","Financials","Equity","60,043,817.29","0.17","60,043,817.29","12,488,162.00","4.81","United Arab Emirates","Abu Dhabi Securities Exchange","AED"
"2345","ACCTON TECHNOLOGY CORP","Information Technology","Equity","59,650,517.66","0.17","59,650,517.66","1,553,000.00","38.41","Taiwan","Taiwan Stock Exchange","TWD"
"7010","SAUDI TELECOM","Communication","Equity","59,095,697.29","0.17","59,095,697.29","5,168,255.00","11.43","Saudi Arabia","Saudi Stock Exchange","SAR"
"068270","CELLTRION INC","Health Care","Equity","58,928,785.79","0.17","58,928,785.79","395,977.00","148.82","Korea (South)","Korea Exchange (Stock Market)","KRW"
"PKO","POWSZECHNA KASA OSZCZEDNOSCI BANK","Financials","Equity","58,788,629.23","0.17","58,788,629.23","2,433,895.00","24.15","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"1211","SAUDI ARABIAN MINING","Materials","Equity","58,695,142.40","0.17","58,695,142.40","3,466,341.00","16.93","Saudi Arabia","Saudi Stock Exchange","SAR"
"2303","UNITED MICRO ELECTRONICS CORP","Information Technology","Equity","56,903,716.11","0.16","56,903,716.11","32,668,000.00","1.74","Taiwan","Taiwan Stock Exchange","TWD"
"USD","USD CASH","Cash and/or Derivatives","Cash","56,840,507.44","0.16","56,840,507.44","56,840,507.00","100.00","United States","-","USD"
"1288","AGRICULTURAL BANK OF CHINA LTD H","Financials","Equity","56,196,706.91","0.16","56,196,706.91","79,215,000.00","0.71","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"BAP","CREDICORP LTD","Financials","Equity","55,917,087.60","0.16","55,917,087.60","185,064.00","302.15","Peru","New York Stock Exchange Inc.","USD"
"PETR3","PETROLEO BRASILEIRO SA PETROBRAS","Energy","Equity","55,317,321.95","0.16","55,317,321.95","9,285,420.00","5.96","Brazil","XBSP","BRL"
"MTN","MTN GROUP LTD","Communication","Equity","53,382,692.34","0.15","53,382,692.34","4,999,693.00","10.68","South Africa","Johannesburg Stock Exchange","ZAR"
"AMXB","AMERICA MOVIL B","Communication","Equity","52,954,161.25","0.15","52,954,161.25","52,086,084.00","1.02","Mexico","Bolsa Mexicana De Valores","MXN"
"SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES LTD","Health Care","Equity","52,564,747.35","0.15","52,564,747.35","2,739,754.00","19.19","India","National Stock Exchange Of India","INR"
"CEMEXCPO","CEMEX CPO","Materials","Equity","52,439,669.15","0.15","52,439,669.15","42,145,218.00","1.24","Mexico","Bolsa Mexicana De Valores","MXN"
"086790","HANA FINANCIAL GROUP INC","Financials","Equity","51,890,653.16","0.15","51,890,653.16","814,471.00","63.71","Korea (South)","Korea Exchange (Stock Market)","KRW"
"EAND","EMIRATES TELECOM","Communication","Equity","50,948,212.43","0.15","50,948,212.43","10,104,362.00","5.04","United Arab Emirates","Abu Dhabi Securities Exchange","AED"
"1088","CHINA SHENHUA ENERGY LTD H","Energy","Equity","50,680,400.51","0.15","50,680,400.51","9,621,500.00","5.27","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"HCLTECH","HCL TECHNOLOGIES LTD","Information Technology","Equity","50,092,117.49","0.14","50,092,117.49","2,718,524.00","18.43","India","National Stock Exchange Of India","INR"
"9987","YUM CHINA HOLDINGS INC","Consumer Discretionary","Equity","49,573,088.53","0.14","49,573,088.53","1,034,334.00","47.93","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"BEL","BHARAT ELECTRONICS LTD","Industrials","Equity","49,469,641.55","0.14","49,469,641.55","10,654,318.00","4.64","India","National Stock Exchange Of India","INR"
"2269","WUXI BIOLOGICS CAYMAN INC","Health Care","Equity","49,110,953.92","0.14","49,110,953.92","10,329,865.00","4.75","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"TITAN","TITAN COMPANY LTD","Consumer Discretionary","Equity","48,552,890.63","0.14","48,552,890.63","1,041,880.00","46.60","India","National Stock Exchange Of India","INR"
"012330","HYUNDAI MOBIS LTD","Consumer Discretionary","Equity","47,807,942.94","0.14","47,807,942.94","174,496.00","273.98","Korea (South)","Korea Exchange (Stock Market)","KRW"
"1801","INNOVENT BIOLOGICS INC","Health Care","Equity","47,696,700.49","0.14","47,696,700.49","4,163,500.00","11.46","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Consumer Staples","Equity","47,636,693.31","0.14","47,636,693.31","4,660,833.00","10.22","Mexico","Bolsa Mexicana De Valores","MXN"
"SBIN","STATE BANK OF INDIA","Financials","Equity","47,626,851.49","0.14","47,626,851.49","4,292,129.00","11.10","India","National Stock Exchange Of India","INR"
"WALMEX*","WALMART DE MEXICO V","Consumer Staples","Equity","47,189,286.79","0.14","47,189,286.79","14,758,355.00","3.20","Mexico","Bolsa Mexicana De Valores","MXN"
"028260","SAMSUNG C&T CORP","Industrials","Equity","46,766,673.18","0.13","46,766,673.18","253,977.00","184.14","Korea (South)","Korea Exchange (Stock Market)","KRW"
"NTPC","NTPC LTD","Utilities","Equity","46,548,153.98","0.13","46,548,153.98","12,491,114.00","3.73","India","National Stock Exchange Of India","INR"
"BBDC4","BANCO BRADESCO PREF SA","Financials","Equity","46,383,228.76","0.13","46,383,228.76","13,396,222.00","3.46","Brazil","XBSP","BRL"
"CIMB","CIMB GROUP HOLDINGS","Financials","Equity","46,216,370.16","0.13","46,216,370.16","23,099,679.00","2.00","Malaysia","Bursa Malaysia","MYR"
"2412","CHUNGHWA TELECOM LTD","Communication","Equity","45,883,569.11","0.13","45,883,569.11","10,872,000.00","4.22","Taiwan","Taiwan Stock Exchange","TWD"
"DELTA.R","DELTA ELECTRONICS (THAILAND) NON-V","Information Technology","Equity","45,365,812.92","0.13","45,365,812.92","8,641,500.00","5.25","Thailand","Stock Exchange Of Thailand","THB"
"MAYBANK","MALAYAN BANKING","Financials","Equity","44,990,019.39","0.13","44,990,019.39","16,875,400.00","2.67","Malaysia","Bursa Malaysia","MYR"
"600519","KWEICHOW MOUTAI LTD A","Consumer Staples","Equity","44,643,862.49","0.13","44,643,862.49","219,386.00","203.49","China","Shanghai Stock Exchange","CNY"
"SHFL","SHRIRAM FINANCE LTD","Financials","Equity","44,633,369.33","0.13","44,633,369.33","4,125,864.00","10.82","India","National Stock Exchange Of India","INR"
"ULTRACEMCO","ULTRATECH CEMENT LTD","Materials","Equity","44,585,055.76","0.13","44,585,055.76","336,769.00","132.39","India","National Stock Exchange Of India","INR"
"329180","HD HYUNDAI HEAVY INDUSTRIES LTD","Industrials","Equity","44,389,778.83","0.13","44,389,778.83","106,284.00","417.65","Korea (South)","Korea Exchange (Stock Market)","KRW"
"EMIRATESNBD","EMIRATES NBD","Financials","Equity","44,281,814.50","0.13","44,281,814.50","5,541,639.00","7.99","United Arab Emirates","Dubai Financial Market","AED"
"PBBANK","PUBLIC BANK","Financials","Equity","43,849,044.80","0.13","43,849,044.80","38,999,800.00","1.12","Malaysia","Bursa Malaysia","MYR"
"2884","E.SUN FINANCIAL HOLDING LTD","Financials","Equity","43,681,540.96","0.13","43,681,540.96","42,062,598.00","1.04","Taiwan","Taiwan Stock Exchange","TWD"
"2886","MEGA FINANCIAL HOLDING LTD","Financials","Equity","43,356,983.51","0.12","43,356,983.51","33,738,986.00","1.29","Taiwan","Taiwan Stock Exchange","TWD"
"BBRI","BANK RAKYAT INDONESIA (PERSERO)","Financials","Equity","43,210,665.80","0.12","43,210,665.80","197,266,083.00","0.22","Indonesia","Indonesia Stock Exchange","IDR"
"IMP","IMPALA PLATINUM LTD","Materials","Equity","43,021,045.40","0.12","43,021,045.40","2,561,258.00","16.80","South Africa","Johannesburg Stock Exchange","ZAR"
"SCCO","SOUTHERN COPPER CORP","Materials","Equity","42,963,196.08","0.12","42,963,196.08","251,954.00","170.52","Peru","New York Stock Exchange Inc.","USD"
"6669","WIWYNN CORPORATION CORP","Information Technology","Equity","42,356,437.21","0.12","42,356,437.21","316,000.00","134.04","Taiwan","Taiwan Stock Exchange","TWD"
"TATASTEEL","TATA STEEL LTD","Materials","Equity","42,336,600.33","0.12","42,336,600.33","21,397,307.00","1.98","India","National Stock Exchange Of India","INR"
"2328","PICC PROPERTY AND CASUALTY LTD H","Financials","Equity","42,249,641.86","0.12","42,249,641.86","19,875,690.00","2.13","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2383","ELITE MATERIAL LTD","Information Technology","Equity","41,854,628.15","0.12","41,854,628.15","845,985.00","49.47","Taiwan","Taiwan Stock Exchange","TWD"
"005490","POSCO","Materials","Equity","41,632,457.57","0.12","41,632,457.57","199,692.00","208.48","Korea (South)","Korea Exchange (Stock Market)","KRW"
"207940","SAMSUNG BIOLOGICS LTD","Health Care","Equity","41,502,363.95","0.12","41,502,363.95","32,224.00","1,287.93","Korea (South)","Korea Exchange (Stock Market)","KRW"
"PKN","ORLEN SA","Energy","Equity","41,433,544.70","0.12","41,433,544.70","1,558,270.00","26.59","Poland","Warsaw Stock Exchange/Equities/Main Market","PLN"
"ETE","NATIONAL BANK OF GREECE SA","Financials","Equity","41,111,070.40","0.12","41,111,070.40","2,487,025.00","16.53","Greece","Athens Exchange S.A. Cash Market","EUR"
"2887","TS FINANCIAL HOLDING LTD","Financials","Equity","41,021,393.72","0.12","41,021,393.72","62,235,455.00","0.66","Taiwan","Taiwan Stock Exchange","TWD"
"3017","ASIA VITAL COMPONENTS LTD","Information Technology","Equity","40,467,489.92","0.12","40,467,489.92","930,973.00","43.47","Taiwan","Taiwan Stock Exchange","TWD"
"3231","WISTRON CORP","Information Technology","Equity","40,048,241.90","0.12","40,048,241.90","8,502,188.00","4.71","Taiwan","Taiwan Stock Exchange","TWD"
"196170","ALTEOGEN INC","Health Care","Equity","39,802,384.53","0.11","39,802,384.53","113,577.00","350.44","Korea (South)","Korea Exchange (Kosdaq)","KRW"
"386","CHINA PETROLEUM AND CHEMICAL CORP","Energy","Equity","39,218,606.56","0.11","39,218,606.56","65,184,000.00","0.60","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2885","YUANTA FINANCIAL HOLDING LTD","Financials","Equity","39,128,001.62","0.11","39,128,001.62","30,336,189.00","1.29","Taiwan","Taiwan Stock Exchange","TWD"
"300750","CONTEMPORARY AMPEREX TECHNOLOGY LT","Industrials","Equity","38,957,096.53","0.11","38,957,096.53","735,783.00","52.95","China","Shenzhen Stock Exchange","CNY"
"9992","POP MART INTERNATIONAL GROUP LTD","Consumer Discretionary","Equity","38,868,776.54","0.11","38,868,776.54","1,538,000.00","25.27","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"POWERGRID","POWER GRID CORPORATION OF INDIA LT","Utilities","Equity","38,832,758.48","0.11","38,832,758.48","13,571,146.00","2.86","India","National Stock Exchange Of India","INR"
"267260","HD HYUNDAI ELECTRIC LTD","Industrials","Equity","38,557,350.07","0.11","38,557,350.07","66,300.00","581.56","Korea (South)","Korea Exchange (Stock Market)","KRW"
"175","GEELY AUTOMOBILE HOLDINGS LTD","Consumer Discretionary","Equity","37,965,038.22","0.11","37,965,038.22","17,215,897.00","2.21","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2020","ANTA SPORTS PRODUCTS LTD","Consumer Discretionary","Equity","37,787,386.95","0.11","37,787,386.95","3,668,200.00","10.30","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2601","CHINA PACIFIC INSURANCE (GROUP) LT","Financials","Equity","37,221,906.07","0.11","37,221,906.07","7,516,800.00","4.95","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"HINDALCO","HINDALCO INDUSTRIES LTD","Materials","Equity","37,023,634.20","0.11","37,023,634.20","3,705,240.00","9.99","India","National Stock Exchange Of India","INR"
"010140","SAMSUNG HEAVY INDUSTRIES LTD","Industrials","Equity","37,010,184.55","0.11","37,010,184.55","1,883,644.00","19.65","Korea (South)","Korea Exchange (Stock Market)","KRW"
"042660","HANWHA OCEAN LTD","Industrials","Equity","36,710,468.47","0.11","36,710,468.47","398,284.00","92.17","Korea (South)","Korea Exchange (Stock Market)","KRW"
"1378","CHINA HONGQIAO GROUP LTD","Materials","Equity","36,523,457.04","0.11","36,523,457.04","8,200,000.00","4.45","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"WEGE3","WEG SA","Industrials","Equity","36,080,795.01","0.10","36,080,795.01","4,190,890.00","8.61","Brazil","XBSP","BRL"
"2327","YAGEO CORP","Information Technology","Equity","35,973,189.54","0.10","35,973,189.54","4,711,892.00","7.63","Taiwan","Taiwan Stock Exchange","TWD"
"ADCB","ABU DHABI COMMERCIAL BANK","Financials","Equity","35,966,049.25","0.10","35,966,049.25","8,950,088.00","4.02","United Arab Emirates","Abu Dhabi Securities Exchange","AED"
"316140","WOORI FINANCIAL GROUP INC","Financials","Equity","35,761,399.24","0.10","35,761,399.24","1,910,091.00","18.72","Korea (South)","Korea Exchange (Stock Market)","KRW"
"HAR","HARMONY GOLD MINING COMPANY LIMITE","Materials","Equity","35,559,705.03","0.10","35,559,705.03","1,722,639.00","20.64","South Africa","Johannesburg Stock Exchange","ZAR"
"9868","XPENG CLASS A INC","Consumer Discretionary","Equity","35,530,344.32","0.10","35,530,344.32","3,525,940.00","10.08","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9633","NONGFU SPRING LTD H","Consumer Staples","Equity","35,096,843.91","0.10","35,096,843.91","5,850,800.00","6.00","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"009540","HD KOREA SHIPBUILDING & OFFSHORE E","Industrials","Equity","35,046,651.58","0.10","35,046,651.58","114,325.00","306.55","Korea (South)","Korea Exchange (Stock Market)","KRW"
"ITSA4","ITAUSA INVESTIMENTOS ITAU PREF SA","Financials","Equity","34,935,773.11","0.10","34,935,773.11","15,447,468.00","2.26","Brazil","XBSP","BRL"
"EICHERMOT","EICHER MOTORS LTD","Consumer Discretionary","Equity","34,735,766.96","0.10","34,735,766.96","417,204.00","83.26","India","National Stock Exchange Of India","INR"
"ABG","ABSA GROUP LTD","Financials","Equity","34,539,112.12","0.10","34,539,112.12","2,324,300.00","14.86","South Africa","Johannesburg Stock Exchange","ZAR"
