Fund Holdings as of,"09/Jan/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"WBD","WARNER BROS. DISCOVERY INC SERIES","Communication","Equity","113,344,566.69","0.08","113,344,566.69","3,923,994.00","28.89","United States","NASDAQ","USD"
"WMB","WILLIAMS INC","Energy","Equity","113,235,478.72","0.08","113,235,478.72","1,877,246.00","60.32","United States","New York Stock Exchange Inc.","USD"
"DG","VINCI SA","Industrials","Equity","112,522,895.48","0.08","112,522,895.48","798,850.00","140.86","France","Nyse Euronext - Euronext Paris","EUR"
"GLW","CORNING INC","Information Technology","Equity","112,167,879.03","0.08","112,167,879.03","1,316,061.00","85.23","United States","New York Stock Exchange Inc.","USD"
"TEL","TE CONNECTIVITY PLC","Information Technology","Equity","112,156,237.20","0.08","112,156,237.20","484,267.00","231.60","United States","New York Stock Exchange Inc.","USD"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","111,603,264.48","0.08","111,603,264.48","437,454.00","255.12","United States","New York Stock Exchange Inc.","USD"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","111,456,546.00","0.08","111,456,546.00","1,339,300.00","83.22","United States","NASDAQ","USD"
"ANZ","ANZ GROUP HOLDINGS LTD","Financials","Equity","110,956,737.76","0.08","110,956,737.76","4,684,853.00","23.68","Australia","Asx - All Markets","AUD"
"DBK","DEUTSCHE BANK AG","Financials","Equity","110,702,941.58","0.08","110,702,941.58","2,876,946.00","38.48","Germany","Xetra","EUR"
"NWG","NATWEST GROUP PLC","Financials","Equity","109,884,106.32","0.08","109,884,106.32","12,743,543.00","8.62","United Kingdom","London Stock Exchange","GBP"
"8766","TOKIO MARINE HOLDINGS INC","Financials","Equity","109,651,814.92","0.08","109,651,814.92","2,907,016.00","37.72","Japan","Tokyo Stock Exchange","JPY"
"SNOW","SNOWFLAKE INC","Information Technology","Equity","109,130,043.54","0.08","109,130,043.54","498,106.00","219.09","United States","New York Stock Exchange Inc.","USD"
"AON","AON PLC CLASS A","Financials","Equity","108,995,314.00","0.08","108,995,314.00","310,705.00","350.80","United States","New York Stock Exchange Inc.","USD"
"7974","NINTENDO LTD","Communication","Equity","108,965,580.68","0.08","108,965,580.68","1,692,370.00","64.39","Japan","Tokyo Stock Exchange","JPY"
"SLB","SLB NV","Energy","Equity","108,660,845.20","0.08","108,660,845.20","2,404,001.00","45.20","United States","New York Stock Exchange Inc.","USD"
"CTAS","CINTAS CORP","Industrials","Equity","108,490,567.36","0.08","108,490,567.36","561,778.00","193.12","United States","NASDAQ","USD"
"ECL","ECOLAB INC","Materials","Equity","108,437,117.26","0.08","108,437,117.26","399,062.00","271.73","United States","New York Stock Exchange Inc.","USD"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","108,066,434.70","0.08","108,066,434.70","355,470.00","304.01","United States","NASDAQ","USD"
"CSX","CSX CORP","Industrials","Equity","107,932,563.20","0.08","107,932,563.20","3,066,266.00","35.20","United States","NASDAQ","USD"
